package;class;method name;;;capabilities;;
sun.awt.windows;WClipboard;publishClipboardData;void;long,byte[] ;GUI,CLIPBOARD;;
sun.awt.windows;WClipboard;registerClipboardViewer;void; ;GUI,CLIPBOARD;;
java.awt;AWTEvent;initIDs;void; ;NATIVE;;
java.awt;AWTEvent;nativeSetSource;void;java.awt.peer.ComponentPeer ;GUI;;
java.awt;Button;initIDs;void; ;NATIVE;;
java.awt;Checkbox;initIDs;void; ;NATIVE;;
java.awt;CheckboxMenuItem;initIDs;void; ;NATIVE;;
java.awt;Color;initIDs;void; ;NATIVE;;
java.awt;Component;initIDs;void; ;NATIVE;;
java.awt;Container;initIDs;void; ;NATIVE;;
java.awt;Cursor;finalizeImpl;void;long ;GUI;;
java.awt;Cursor;initIDs;void; ;NATIVE;;
java.awt;Dialog;initIDs;void; ;NATIVE;;
java.awt;Dimension;initIDs;void; ;NATIVE;;
java.awt;Event;initIDs;void; ;NATIVE;;
java.awt;FileDialog;initIDs;void; ;NATIVE;;
java.awt;Font;initIDs;void; ;NATIVE;;
java.awt;FontMetrics;initIDs;void; ;NATIVE;;
java.awt;Frame;initIDs;void; ;NATIVE;;
java.awt;Insets;initIDs;void; ;NATIVE;;
java.awt;KeyboardFocusManager;initIDs;void; ;NATIVE;;
java.awt;Label;initIDs;void; ;NATIVE;;
java.awt;Menu;initIDs;void; ;NATIVE;;
java.awt;MenuBar;initIDs;void; ;NATIVE;;
java.awt;MenuComponent;initIDs;void; ;NATIVE;;
java.awt;MenuItem;initIDs;void; ;NATIVE;;
java.awt;Rectangle;initIDs;void; ;NATIVE;;
java.awt;Scrollbar;initIDs;void; ;NATIVE;;
java.awt;ScrollPane;initIDs;void; ;NATIVE;;
java.awt;ScrollPaneAdjustable;initIDs;void; ;NATIVE;;
java.awt;SplashScreen;_close;void;long ;NATIVE;;
java.awt;SplashScreen;_getBounds;java.awt.Rectangle;long ;GUI;;
java.awt;SplashScreen;_getImageFileName;java.lang.String;long ;GUI;;
java.awt;SplashScreen;_getImageJarName;java.lang.String;long ;GUI;;
java.awt;SplashScreen;_getInstance;long; ;GUI;;
java.awt;SplashScreen;_isVisible;boolean;long ;GUI;;
